time,open,high,low,close,volume
1778774400,1.167570,1.168090,1.167020,1.167240,4488927.4551
1778788800,1.167270,1.167640,1.166310,1.166370,1414059.9298
1778803200,1.166330,1.166500,1.164680,1.165350,1608015.5450
1778817600,1.165340,1.165380,1.163350,1.163690,4193272.4779
1778832000,1.163660,1.165510,1.161970,1.163060,4961317.4800
1778846400,1.163010,1.163530,1.161860,1.162330,7738660.2659
1778860800,1.162400,1.163200,1.161400,1.161800,1690999.3097
1778875200,1.161820,1.162280,1.161660,1.162010,614041.9856
1778889600,1.162010,1.162120,1.161740,1.161900,327791.5954
1778904000,1.161910,1.162240,1.161320,1.161430,889717.4218
1778918400,1.161430,1.161960,1.161190,1.161240,994566.5357
1778932800,1.161250,1.161580,1.161050,1.161410,438088.3368
1778947200,1.161410,1.161510,1.161080,1.161220,284945.6442
1778961600,1.161220,1.161560,1.161140,1.161430,163864.0503
1778976000,1.161310,1.161640,1.161260,1.161470,305400.1745
1778990400,1.161560,1.161650,1.161320,1.161530,218843.6399
1779004800,1.161490,1.165980,1.161220,1.161610,622498.7858
1779019200,1.161610,1.161940,1.161420,1.161770,380385.3875
1779033600,1.161720,1.162000,1.161580,1.161890,840321.8674
1779048000,1.161860,1.162180,1.160760,1.160970,1524795.5172
1779062400,1.161030,1.162040,1.160660,1.161960,3604840.5194
1779076800,1.161980,1.163810,1.161470,1.163150,10720940.4338
1779091200,1.163150,1.164920,1.162660,1.164070,4591830.2349
1779105600,1.164100,1.165610,1.163330,1.164810,6375001.5765
1779120000,1.164790,1.165470,1.162960,1.165060,4117942.1991
1779134400,1.165080,1.166210,1.165080,1.165480,2192498.8505
1779148800,1.165480,1.165600,1.164080,1.164130,1023522.3176
1779163200,1.164150,1.164500,1.162920,1.163440,2428607.3884
1779177600,1.163350,1.163470,1.161160,1.161570,3181513.5239
1779192000,1.161570,1.162270,1.159210,1.160150,4316285.1961
1779206400,1.160100,1.161330,1.159550,1.160570,1765559.6279
1779220800,1.160580,1.161140,1.160210,1.160520,863638.0627
1779235200,1.160520,1.160870,1.159250,1.160090,1685467.3942
1779249600,1.160120,1.160530,1.159100,1.159220,4293133.2748
1779264000,1.159220,1.160190,1.158320,1.159770,4276962.3721
1779278400,1.159770,1.164120,1.158250,1.161800,10977862.4189
1779292800,1.161810,1.163380,1.161520,1.162580,4422330.4209
1779307200,1.162580,1.162690,1.162160,1.162330,1041095.5464
1779321600,1.162300,1.163340,1.161460,1.161790,704960.1628
1779336000,1.161780,1.162480,1.159400,1.160580,2256139.2460
1779350400,1.160600,1.163220,1.159490,1.159750,3479387.2099
1779364800,1.159750,1.160530,1.157540,1.158610,5039661.0780
1779379200,1.158620,1.162800,1.158330,1.161940,5115231.5259
1779393600,1.161940,1.162040,1.161340,1.161510,958319.4061
1779408000,1.161490,1.161550,1.160730,1.160960,626932.8211
1779422400,1.160960,1.161510,1.160060,1.160680,1089319.0131
1779436800,1.160660,1.161280,1.158980,1.159380,3684409.5383
1779451200,1.159370,1.161450,1.158650,1.159960,3451454.4663
1779465600,1.159980,1.161590,1.159730,1.160340,1739149.0619
1779480000,1.160260,1.160370,1.159510,1.159590,1544675.7304
1779494400,1.159660,1.159990,1.159550,1.159800,289263.7643
1779508800,1.159630,1.160140,1.159480,1.159710,911155.6952
1779523200,1.159720,1.159860,1.159320,1.159390,494354.5290
1779537600,1.159360,1.159430,1.159120,1.159270,503302.9013
1779552000,1.159270,1.159760,1.159230,1.159420,403690.2759
1779566400,1.159430,1.160450,1.159290,1.160370,634488.8755
1779580800,1.160310,1.160420,1.160140,1.160260,340296.2048
1779595200,1.160260,1.160400,1.160050,1.160270,338221.0582
1779609600,1.160270,1.160870,1.159820,1.160230,1448216.6463
