time,open,high,low,close,volume
1778774400,1.347750,1.347860,1.339630,1.340060,2680540.2907
1778788800,1.340060,1.340780,1.338610,1.339080,356391.1919
1778803200,1.339140,1.339720,1.336490,1.337710,168220.9911
1778817600,1.337720,1.337800,1.333760,1.336560,201818.6155
1778832000,1.336570,1.339400,1.333150,1.336340,245392.2173
1778846400,1.336210,1.336480,1.331720,1.333020,497304.2677
1778860800,1.333240,1.333810,1.331780,1.331870,175712.0418
1778875200,1.331940,1.333010,1.331440,1.332850,169958.8864
1778889600,1.332890,1.333110,1.332660,1.332930,59029.5730
1778904000,1.332900,1.333070,1.332240,1.332380,153269.3315
1778918400,1.332370,1.332710,1.331460,1.331710,177265.7982
1778932800,1.331710,1.332180,1.331670,1.332100,142930.5171
1778947200,1.332070,1.332600,1.331830,1.332220,134176.5270
1778961600,1.332080,1.332490,1.331960,1.332210,70726.3959
1778976000,1.332080,1.332340,1.331930,1.332020,36448.2402
1778990400,1.331990,1.332450,1.331970,1.332060,98515.0943
1779004800,1.332060,1.332300,1.331910,1.332180,124355.0868
1779019200,1.332150,1.332400,1.331910,1.332270,99155.3380
1779033600,1.332130,1.333020,1.331870,1.332010,154541.0958
1779048000,1.332070,1.332570,1.330610,1.330960,297453.7891
1779062400,1.330950,1.331760,1.330500,1.331380,181358.9792
1779076800,1.331340,1.335760,1.331110,1.335220,222966.5249
1779091200,1.335160,1.338320,1.334590,1.337420,279943.0271
1779105600,1.337370,1.342440,1.337360,1.341900,540942.6124
1779120000,1.341640,1.344790,1.339820,1.342770,743009.8240
1779134400,1.342840,1.343820,1.342630,1.343070,219106.4982
1779148800,1.343130,1.343130,1.340810,1.341260,72279.1927
1779163200,1.341200,1.341700,1.339060,1.340030,114166.1954
1779177600,1.340010,1.341390,1.338570,1.340290,349495.9329
1779192000,1.340270,1.341780,1.337770,1.339790,332410.1485
1779206400,1.339780,1.341080,1.338720,1.339960,155060.3621
1779220800,1.339800,1.340400,1.339260,1.339510,182511.5331
1779235200,1.339400,1.340130,1.337630,1.339970,85329.0104
1779249600,1.339930,1.340400,1.337590,1.338520,213159.2364
1779264000,1.338520,1.340660,1.337490,1.339810,438122.9994
1779278400,1.339790,1.345900,1.338130,1.343850,474919.2669
1779292800,1.343900,1.345080,1.343170,1.343600,262859.9788
1779307200,1.343600,1.343880,1.343030,1.343210,123787.9700
1779321600,1.343220,1.344220,1.341680,1.342520,84884.1277
1779336000,1.342350,1.343690,1.341450,1.342650,127338.0573
1779350400,1.342660,1.345100,1.341340,1.342020,445729.3924
1779364800,1.341990,1.342660,1.339060,1.340250,398119.1648
1779379200,1.340400,1.344700,1.339930,1.343510,369395.6915
1779393600,1.343520,1.343890,1.342470,1.342970,204172.5607
1779408000,1.343060,1.343060,1.342060,1.342420,76443.0948
1779422400,1.342390,1.343110,1.341260,1.342200,167877.7816
1779436800,1.342190,1.343560,1.341410,1.341740,159065.5368
1779451200,1.341830,1.346100,1.341400,1.343600,486684.0068
1779465600,1.343570,1.345260,1.343240,1.343760,233867.5480
1779480000,1.343750,1.344110,1.342600,1.342880,201513.8927
1779494400,1.342990,1.343240,1.342690,1.343100,59525.2016
1779508800,1.343060,1.343430,1.342590,1.342730,146686.7012
1779523200,1.342740,1.342980,1.342120,1.342570,251805.1860
1779537600,1.342600,1.343460,1.342540,1.342740,175853.8765
1779552000,1.342700,1.343050,1.342450,1.342790,124297.2606
