feature,horizon,n_top,n_bot,mean_top,mean_bot,spread,t,p,set,test_spread,test_t,same_sign,fdr_pass,survivor
f_absorption,4,1170,1164,-0.04657950002486006,0.028181271692923383,-0.07476077171778345,-1.255843267321466,0.20929889487631767,train,-0.331287434174959,-1.6668274899673017,True,False,False
f_dir_eff24,16,318,407,-0.12796964176566267,0.10343818321156222,-0.2314078249772249,-1.050186236944864,0.29398703851912455,train,0.20240184312532827,0.23088701273430007,False,False,False
f_ext_ema50,16,252,252,0.13543356846808377,-0.11935234594117232,0.2547859144092561,0.8759496786201542,0.3814848538549125,train,1.09183294159619,1.3356884512501852,True,False,False
f_absorption,16,513,502,-0.10811404564702028,0.03705068344582148,-0.14516472909284175,-0.7990223209454539,0.4244664413212587,train,-0.11277697208635362,-0.15815768793336943,True,False,False
f_run_signed,16,413,576,-0.02996838547861192,0.12370701471214504,-0.15367540019075696,-0.7670198268357014,0.44327186654566253,train,0.45166532706727147,0.700710624833642,False,False,False
f_impulse,16,498,498,0.07048428453927703,-0.07091428889255069,0.1413985734318277,0.7555045286233968,0.45013897080803444,train,0.5640424256547146,0.8921130197999038,True,False,False
f_dir_eff6,16,498,540,-0.1397377365372769,-0.0001260972706716159,-0.13961163926660528,-0.7313997564035055,0.4647010068722891,train,0.2028900011433098,0.34913475149393786,False,False,False
f_spread_per_range,4,1064,1056,0.03406324283444224,-0.0138825953119815,0.04794583814642374,0.7009854275900682,0.4833959393828681,train,0.17723305698902903,0.6743567110757427,True,False,False
f_vol_of_vol,4,608,651,-0.004498964430445726,-0.06523331729350969,0.06073435286306396,0.659619822453667,0.5096188042328358,train,-0.0830824129536639,-0.8039869582770998,False,False,False
f_wick_skew,4,1400,1455,0.029601397626233737,-0.006322690107542844,0.03592408773377658,0.6197048301046107,0.5355020816322682,train,-0.07391363476126936,-0.5549092557345584,False,False,False
f_range_z,48,213,207,0.30719754635607277,-0.004796656887229229,0.311994203243302,0.6037337494573233,0.5463495011353672,train,0.4183374312856647,0.3115157479921927,True,False,False
f_vol_shift,4,697,691,-0.003056814570806268,0.04663805690893516,-0.04969487147974143,-0.5972751604993274,0.5504214444093167,train,-0.005899489195465887,-0.06041477441827421,True,False,False
f_dir_eff24,48,165,191,-0.06643377896993174,0.26651391385173523,-0.332947692821667,-0.586848071296665,0.5576905356336519,train,-0.12042584097818487,-0.055131384061107395,True,False,False
f_rsi,4,754,747,-0.040294053826551025,0.007574746043791806,-0.04786879987034283,-0.5801006161982751,0.5619341549829474,train,0.1903770737161804,0.8041595711081474,False,False,False
f_efficiency,4,1435,1453,0.03211014733594017,-0.001078373884733731,0.0331885212206739,0.5712062428596543,0.5679043329669675,train,0.06033035469745654,0.36705691442612776,True,False,False
f_vol_shift,16,271,263,0.03425280168622724,0.1704129593985821,-0.13616015771235485,-0.5172394410413035,0.6052089014593074,train,-0.244337705252811,-0.7202483043300634,True,False,False
f_dir_eff6,48,210,216,0.22938095366978817,-0.02917153761098166,0.25855249128076985,0.5165782211616976,0.6057209629948939,train,-0.9566310023013989,-0.604377282097614,False,False,False
f_impulse,48,212,213,0.2615934030449895,-0.002549483361013313,0.2641428864060028,0.5072187700322416,0.6122662646735147,train,-0.4045720702276374,-0.2505942171534506,False,False,False
f_efficiency,48,223,221,0.16214651654617548,-0.0880772635053049,0.2502237800514804,0.5065372622815218,0.6127323820813059,train,-0.17110126508481427,-0.09958561350418514,False,False,False
