feature,horizon,n_top,n_bot,mean_top,mean_bot,spread,t,p,set,test_spread,test_t,same_sign,fdr_pass,survivor
f_close_loc,4,17291,17308,-0.0249085917688098,0.016033927528719367,-0.040942519297529165,-2.5659700892582116,0.0102929449833374,train,0.057999996799558876,0.9565519147706734,False,False,False
f_spread_stress,4,10242,11089,0.028742611251081185,-0.014264153068357674,0.04300676431943886,2.0431333826268805,0.04105213197466795,train,0.057969287071669456,0.438099308474579,True,False,False
f_rsi,4,9222,9318,-0.00571505464366861,0.03961542186840322,-0.04533047651207183,-1.907419980082752,0.05648168737379148,train,-0.018599288957676714,-0.5287470180510606,True,False,False
f_ext_ema50,4,8604,8667,-0.004332901944834948,0.03902086916550827,-0.04335377111034322,-1.8273322241766232,0.06766719503318572,train,-0.019338391296883514,-0.6567923677984315,True,False,False
f_spread_per_range,16,4446,4618,0.07312356792710271,-0.02413718497441514,0.09726075290151785,1.4446976040466757,0.14857752501426785,train,0.3468378407294901,1.3953110851975898,True,False,False
f_dir_eff6,4,12226,15129,0.021233313982210334,-0.003599932818501826,0.02483324680071216,1.3537145821015901,0.1758396330518332,train,-0.06985071633655265,-0.9834129975213308,False,False,False
f_dir_eff24,4,9392,11771,0.00687444209624936,-0.015607454508864192,0.02248189660511355,1.0700385201065274,0.2846153250548703,train,-0.03139151154599268,-0.4662921782103604,False,False,False
f_ext_ema50,16,3109,3185,0.007777653727986198,0.09144919904127483,-0.08367154531328863,-1.0203550095072822,0.3075999307865111,train,-0.10513559191011491,-0.9802479346775237,True,False,False
f_run_signed,48,2334,2660,-0.03772701626128265,0.11590531416688264,-0.1536323304281653,-0.9388422307040524,0.3478578235152808,train,0.16216917307401169,0.3690359352906057,False,False,False
f_vol_shift,48,1415,1348,-0.02261935353551417,0.18012809584641173,-0.2027474493819259,-0.93245768718043,0.3511815748049924,train,-0.7134460065908832,-0.8635938620723143,True,False,False
f_impulse,48,2115,1901,0.09833558901370842,-0.06728285876022616,0.16561844777393459,0.9187483123706002,0.3582843250969486,train,-0.49468676989332494,-0.7930420849771531,False,False,False
f_absorption,16,4781,4000,0.00993635921907643,0.0710891534898328,-0.06115279427075637,-0.91483368031108,0.3603043671163653,train,-0.370972016362256,-1.4549053368111389,True,False,False
f_atr_ratio,4,7552,7363,0.010962564115212497,0.03361302758616692,-0.02265046347095442,-0.9089707011277051,0.3633803789261266,train,-0.1314259061935137,-0.9070015562011224,True,False,False
f_rsi,16,3680,3707,-0.03696144232970448,0.03230420698817179,-0.06926564931787627,-0.9020004571806245,0.3670862842000859,train,-0.2751240665335903,-1.2279112086437058,True,False,False
f_tick_intensity,16,3874,3251,0.02670955375048587,-0.037022324466444545,0.06373187821693041,0.8504714938889,0.39509198719656047,train,-0.25589334601624997,-0.9405669497278556,False,False,False
f_impulse,4,11928,10818,0.0225492252936097,0.005438653398552441,0.017110571895057262,0.8302959032481523,0.4063805818904587,train,-0.06766724175772565,-0.7366808635936004,False,False,False
f_run_signed,4,8923,17199,0.0003942443091944964,0.01641651156375656,-0.016022267254562066,-0.8218732558862994,0.41115991011478054,train,-0.003356417041684913,-0.12658405531749423,True,False,False
f_atr_ratio,16,2404,2208,0.031040393991962394,0.10291380215987295,-0.07187340816791055,-0.773187568317438,0.43945104253343104,train,-0.43730218096343987,-1.096559922199443,True,False,False
f_close_loc,16,6920,6936,-0.00018120452256592285,0.037402894537570064,-0.03758409906013599,-0.7064645052256201,0.47991121165216366,train,-0.002245083763890099,-0.014718705671088263,True,False,False
