tf,strategies,stop_atr,min_stop,hours,n,trades_per_day,avg_stop_usd,cost_pct_of_risk,E_R,win,t,R_per_year,maxDD_R,avg_hold_min
5min,pullback,1.5,3.0,07-20,758,4.46,3.7,21.8,-0.2141,0.322,-4.71,-98.1,168.5,198.0
5min,pullback,1.5,3.0,12-20,548,3.3,3.86,20.9,-0.1856,0.339,-3.56,-61.5,102.3,279.0
5min,pullback+sweep,1.5,3.0,07-20,955,5.62,3.72,21.6,-0.2445,0.299,-5.99,-141.1,250.9,165.0
5min,pullback+sweep,1.5,3.0,12-20,736,4.36,3.84,20.9,-0.3132,0.336,-2.17,-139.3,237.4,241.0
5min,pullback+sweep+fade,1.5,3.0,07-20,970,5.71,3.68,21.8,-0.2289,0.304,-5.6,-134.2,236.9,160.0
5min,pullback+sweep+fade,1.5,3.0,12-20,761,4.48,3.82,21.0,-0.2823,0.343,-2.02,-129.8,219.7,226.0
5min,pullback+sweep+fade+vwap,1.5,3.0,07-20,1172,6.89,3.68,21.9,-0.2074,0.299,-5.52,-146.9,264.8,130.0
5min,pullback+sweep+fade+vwap,1.5,3.0,12-20,940,5.53,3.92,20.5,-0.2281,0.34,-1.98,-129.6,221.0,167.0
5min,pullback,2.5,3.0,07-20,680,4.0,4.75,16.9,-0.1668,0.337,-3.57,-68.5,123.4,310.0
5min,pullback,2.5,3.0,12-20,490,2.95,5.38,14.9,-0.152,0.367,-2.87,-45.0,80.6,490.0
5min,pullback+sweep,2.5,3.0,07-20,857,5.04,4.85,16.6,-0.1863,0.316,-4.43,-96.5,180.7,265.0
5min,pullback+sweep,2.5,3.0,12-20,647,3.83,5.44,14.8,-0.1333,0.362,-2.85,-52.1,96.6,411.0
5min,pullback+sweep+fade,2.5,3.0,07-20,862,5.07,4.83,16.6,-0.231,0.3,-5.59,-120.3,211.7,251.0
5min,pullback+sweep+fade,2.5,3.0,12-20,662,3.89,5.42,14.8,-0.1397,0.355,-3.01,-55.9,100.7,399.0
5min,pullback+sweep+fade+vwap,2.5,3.0,07-20,966,5.68,4.87,16.5,-0.2077,0.301,-5.31,-121.2,211.6,246.0
5min,pullback+sweep+fade+vwap,2.5,3.0,12-20,761,4.48,5.52,14.6,-0.1349,0.338,-3.05,-62.1,107.1,337.0
