hour,n,mean_bps,sd,t_stat,up_rate,signif_bonferroni
0,61,1.012,21.062,0.375,0.541,False
1,63,-3.069,17.75,-1.372,0.413,False
2,63,-2.589,23.204,-0.886,0.476,False
3,61,0.319,17.483,0.143,0.557,False
4,63,-0.959,10.821,-0.704,0.444,False
5,60,-2.099,11.724,-1.387,0.417,False
6,62,0.583,17.744,0.259,0.468,False
7,63,4.835,20.427,1.879,0.524,False
8,63,0.344,18.182,0.15,0.508,False
9,61,0.173,23.56,0.057,0.541,False
10,60,1.726,21.735,0.615,0.567,False
11,62,-0.133,22.017,-0.048,0.5,False
12,61,0.26,22.256,0.091,0.557,False
13,63,-8.354,25.258,-2.625,0.27,False
14,63,-1.476,34.563,-0.339,0.54,False
15,63,0.843,37.182,0.18,0.54,False
16,63,1.842,28.008,0.522,0.476,False
17,63,1.464,23.782,0.489,0.508,False
18,63,-6.723,31.214,-1.71,0.444,False
19,62,2.765,21.211,1.026,0.516,False
20,62,1.519,21.107,0.567,0.452,False
21,62,1.378,14.376,0.755,0.532,False
22,28,4.203,11.357,1.958,0.607,False
23,34,-3.196,7.664,-2.431,0.324,False
