ladder,entry,n,E_R,win,avg_win,avg_loss,PF,maxDD_R,total_R,t,hold_h,pct_stopped,pct_breakeven,pct_locked,pct_target,pct_timeout,tf
keep50%,random,3000,0.0137,0.905,0.119,-0.996,1.146,20.5,41.2,1.58,1.1,9.1,24.7,65.3,0.0,0.9,15min
keep60%,random,3000,0.0103,0.905,0.115,-0.996,1.109,24.1,30.9,1.3,0.9,9.1,22.1,68.2,0.0,0.6,15min
1->0+2->1 keep60%,random,3000,0.0103,0.905,0.115,-0.996,1.109,24.1,30.9,1.3,0.9,9.1,22.1,68.2,0.0,0.6,15min
keep70%,random,3000,0.01,0.905,0.115,-0.996,1.106,25.4,30.0,1.35,0.8,9.1,19.5,71.0,0.0,0.4,15min
trail4atr,random,3000,0.0089,0.35,1.6,-0.847,1.016,148.5,26.7,0.27,13.3,62.4,0.6,24.1,0.0,12.9,15min
keep40%,random,3000,0.0072,0.905,0.123,-1.093,1.069,47.7,21.7,0.52,2.1,9.1,28.7,60.8,0.0,1.4,15min
1->0 tp2R,random,3000,-0.0106,0.3,1.774,-0.777,0.981,129.7,-31.7,-0.37,11.6,50.1,17.0,0.0,24.9,7.8,15min
trail1.5atr,random,3000,-0.0118,0.379,0.737,-0.469,0.96,99.6,-35.3,-0.55,6.1,59.7,2.4,34.3,0.0,3.6,15min
fixed 3R,random,3000,-0.0165,0.318,2.117,-1.011,0.976,149.4,-49.5,-0.49,15.1,64.0,0.0,0.0,17.5,18.5,15min
1.5->0,random,3000,-0.018,0.249,2.514,-0.856,0.972,227.1,-54.0,-0.45,19.2,57.5,14.0,0.0,0.0,28.5,15min
1->0+3->1.5,random,3000,-0.0184,0.232,2.354,-0.734,0.967,228.5,-55.3,-0.49,17.4,50.1,23.9,4.8,0.0,21.1,15min
fixed 2R,random,3000,-0.0209,0.362,1.739,-1.018,0.968,154.1,-62.6,-0.69,12.7,60.0,0.0,0.0,29.1,10.6,15min
0.5->0,random,3000,-0.0222,0.154,2.605,-0.502,0.948,227.6,-66.5,-0.64,15.2,36.4,46.0,0.0,0.0,17.6,15min
1->0.3+2->1.1+3->2+5->3.8,random,3000,-0.0224,0.472,1.105,-1.029,0.959,166.2,-67.2,-0.72,13.7,50.1,0.0,37.8,0.0,12.1,15min
1->0,random,3000,-0.0226,0.213,2.547,-0.718,0.96,247.5,-67.7,-0.6,17.9,50.1,25.7,0.0,0.0,24.2,15min
1->0+2->0.8 trail3atr,random,3000,-0.024,0.279,1.865,-0.754,0.956,150.4,-71.9,-0.77,13.1,50.1,19.3,19.5,0.0,11.1,15min
fixed 1.5R,random,3000,-0.0243,0.413,1.396,-1.024,0.96,169.3,-73.0,-0.87,11.3,55.2,0.0,0.0,36.8,7.7,15min
1->0+2->1 tp3R,random,3000,-0.0252,0.279,1.861,-0.754,0.954,150.8,-75.6,-0.84,12.6,50.1,19.3,8.8,12.0,9.7,15min
1->0+2->0.8+3->1.8,random,3000,-0.0277,0.278,1.891,-0.768,0.95,189.7,-83.0,-0.8,15.8,50.1,19.3,13.5,0.0,17.1,15min
1->0+2->0.8 trail2atr,random,3000,-0.0295,0.279,1.846,-0.754,0.946,154.5,-88.4,-0.98,12.5,50.1,19.3,21.2,0.0,9.3,15min
fixed 1R,random,3000,-0.0309,0.5,0.972,-1.034,0.94,160.9,-92.8,-1.23,9.4,47.3,0.0,0.0,47.3,5.1,15min
1->0+2->0.5,random,3000,-0.0376,0.278,1.893,-0.781,0.933,246.5,-112.7,-1.02,17.4,50.1,19.3,9.5,0.0,21.1,15min
trail2.5atr,random,3000,-0.0379,0.372,1.043,-0.679,0.911,173.7,-113.6,-1.45,9.9,60.4,1.2,32.6,0.0,5.8,15min
1->0+1.5->0.5,random,3000,-0.0394,0.343,1.529,-0.858,0.93,255.1,-118.2,-1.09,16.5,50.1,12.8,17.9,0.0,19.1,15min
0.75->0+1.5->0.5+2.5->1.3+4->2.6,random,3000,-0.0412,0.309,1.498,-0.728,0.918,194.4,-123.5,-1.27,13.9,45.2,21.5,20.1,0.0,13.1,15min
1->0+2->1,random,3000,-0.0428,0.278,1.874,-0.781,0.924,242.5,-128.5,-1.19,16.6,50.1,19.3,12.7,0.0,17.8,15min
