tf,ladder,n,E_R,win,PF,total_R,maxDD_R,t,p,hold_h
15min,fixed 2R,6190,-0.0669,0.333,0.897,-413.9,489.0,-3.95,1.0,9.3
15min,fixed 3R,6190,-0.051,0.293,0.926,-316.0,467.7,-2.59,0.9954,11.3
15min,1->0,6190,-0.0227,0.184,0.958,-140.6,377.5,-1.03,0.8489,11.7
15min,1->0+2->1,6190,-0.0281,0.266,0.948,-173.9,360.8,-1.4,0.9183,10.4
15min,1->0+3->1.5,6190,-0.0206,0.213,0.962,-127.3,359.5,-0.98,0.8359,11.1
15min,1->0+2->0.8+3->1.8,6190,-0.029,0.266,0.946,-179.7,331.7,-1.47,0.9297,10.2
15min,1.5->0+3->1.5+5->3.2,6190,-0.0259,0.25,0.958,-160.1,391.7,-1.18,0.879,12.1
15min,trail2.5atr,6190,-0.0847,0.329,0.801,-524.5,599.7,-6.54,1.0,5.7
15min,trail4atr,6190,-0.0443,0.319,0.919,-274.3,404.4,-2.45,0.9933,8.7
15min,keep50%,6190,-0.0834,0.664,0.198,-516.2,518.8,-20.38,1.0,0.8
15min,1->0+3->1.5 trail3atr,6190,-0.0498,0.213,0.908,-308.1,393.2,-2.73,0.9971,9.8
1h,fixed 2R,1521,0.1144,0.399,1.194,174.1,41.3,3.21,0.0006,25.5
1h,fixed 3R,1521,0.1883,0.362,1.302,286.4,51.9,4.39,0.0,32.6
1h,1->0,1521,0.1893,0.245,1.381,287.9,58.4,3.98,0.0001,35.3
1h,1->0+2->1,1521,0.1869,0.314,1.376,284.2,48.9,4.09,0.0,32.4
1h,1->0+3->1.5,1521,0.2061,0.269,1.415,313.5,49.2,4.36,0.0,34.3
1h,1->0+2->0.8+3->1.8,1521,0.1895,0.314,1.381,288.2,45.3,4.17,0.0,31.9
1h,1.5->0+3->1.5+5->3.2,1521,0.2369,0.312,1.422,360.4,43.4,4.82,0.0,37.0
1h,trail2.5atr,1521,0.1068,0.385,1.247,162.4,59.1,3.04,0.0013,19.3
1h,trail4atr,1521,0.2194,0.358,1.404,333.7,49.2,4.72,0.0,31.4
1h,keep50%,1521,-0.0565,0.805,0.382,-85.9,87.3,-7.07,1.0,1.4
1h,1->0+3->1.5 trail3atr,1521,0.2231,0.269,1.449,339.4,46.3,4.93,0.0,30.5
4h,fixed 2R,373,0.3195,0.499,1.672,119.2,25.2,4.52,0.0,338.0
4h,fixed 3R,373,0.4219,0.475,1.852,157.4,22.2,4.99,0.0,371.4
4h,1->0,373,0.4357,0.319,2.166,162.5,17.0,4.73,0.0,365.1
4h,1->0+2->1,373,0.4356,0.386,2.166,162.5,17.0,4.88,0.0,354.3
4h,1->0+3->1.5,373,0.4736,0.354,2.268,176.7,17.0,5.17,0.0,360.1
4h,1->0+2->0.8+3->1.8,373,0.4483,0.386,2.2,167.2,17.0,5.11,0.0,352.0
4h,1.5->0+3->1.5+5->3.2,373,0.4765,0.421,2.074,177.7,21.0,5.05,0.0,380.4
4h,trail2.5atr,373,0.1939,0.461,1.688,72.3,13.1,3.61,0.0001,80.7
4h,trail4atr,373,0.4155,0.493,2.101,155.0,26.4,5.03,0.0,179.5
4h,keep50%,373,0.0181,0.893,1.673,6.8,3.4,1.06,0.1705,5.8
4h,1->0+3->1.5 trail3atr,373,0.4461,0.354,2.194,166.4,17.0,5.31,0.0,348.7
1D,fixed 2R,79,0.5064,0.506,2.025,40.0,5.0,3.0,0.0019,881.6
1D,fixed 3R,79,0.5428,0.418,1.932,42.9,10.9,2.55,0.007,1096.9
1D,1->0,79,0.982,0.316,3.04,77.6,8.0,2.95,0.0022,1453.1
1D,1->0+2->1,79,1.0605,0.443,3.203,83.8,8.0,3.25,0.0008,1323.2
1D,1->0+3->1.5,79,0.9985,0.354,3.074,78.9,8.0,3.04,0.0016,1357.8
1D,1->0+2->0.8+3->1.8,79,1.0778,0.443,3.239,85.1,8.0,3.29,0.0007,1290.7
1D,1.5->0+3->1.5+5->3.2,79,1.1209,0.392,3.269,88.6,6.8,3.36,0.0006,1441.4
1D,trail2.5atr,79,0.3528,0.367,2.017,27.9,6.6,2.02,0.0223,491.8
1D,trail4atr,79,0.8837,0.481,2.975,69.8,8.4,3.09,0.0015,1016.2
1D,keep50%,79,-0.0273,0.937,0.46,-2.2,2.6,-1.05,0.8409,22.9
1D,1->0+3->1.5 trail3atr,79,0.8884,0.354,2.845,70.2,8.0,3.03,0.0016,1123.1
