ladder,entry,n,E_R,win,avg_win,avg_loss,PF,maxDD_R,total_R,t,hold_h,pct_stopped,pct_breakeven,pct_locked,pct_target,pct_timeout,tf
keep70%,random,3000,-0.0924,0.76,0.076,-0.628,0.386,278.8,-277.2,-11.9,1.1,14.6,22.7,62.1,0.0,0.7,15min
keep60%,random,3000,-0.0959,0.75,0.073,-0.602,0.363,289.2,-287.8,-12.31,1.2,14.6,25.9,58.8,0.0,0.7,15min
1->0+2->1 keep60%,random,3000,-0.0959,0.75,0.073,-0.602,0.363,289.2,-287.8,-12.31,1.2,14.6,25.9,58.8,0.0,0.7,15min
keep50%,random,3000,-0.0997,0.731,0.07,-0.559,0.338,300.2,-299.0,-12.39,1.2,14.6,30.5,54.1,0.0,0.7,15min
trail4atr,random,3000,-0.1099,0.315,1.49,-0.846,0.81,340.1,-329.7,-3.63,12.7,64.9,0.7,22.6,0.0,11.8,15min
keep40%,random,3000,-0.1131,0.704,0.067,-0.542,0.295,340.4,-339.2,-9.0,2.0,14.6,36.8,47.7,0.0,0.9,15min
fixed 3R,random,3000,-0.1293,0.286,2.059,-1.004,0.82,388.6,-387.8,-4.04,15.1,66.1,0.0,0.0,14.9,19.0,15min
1.5->0,random,3000,-0.1379,0.227,2.398,-0.881,0.798,429.3,-413.6,-3.72,18.7,60.9,12.0,0.0,0.0,27.1,15min
1->0+2->1 tp3R,random,3000,-0.1385,0.242,1.86,-0.778,0.765,416.2,-415.5,-4.81,12.5,54.1,18.1,7.7,10.3,9.8,15min
fixed 2R,random,3000,-0.1412,0.319,1.715,-1.011,0.795,424.9,-423.5,-4.86,12.8,63.5,0.0,0.0,25.1,11.3,15min
1->0+3->1.5,random,3000,-0.1416,0.205,2.284,-0.766,0.768,432.6,-424.7,-4.07,16.9,54.1,21.8,4.0,0.0,20.2,15min
1->0 tp2R,random,3000,-0.142,0.253,1.768,-0.788,0.759,427.9,-426.1,-5.2,11.6,54.0,17.2,0.0,20.8,8.0,15min
fixed 1.5R,random,3000,-0.144,0.362,1.393,-1.015,0.778,435.4,-432.0,-5.34,11.5,59.4,0.0,0.0,32.2,8.0,15min
1->0,random,3000,-0.1448,0.191,2.441,-0.754,0.763,442.3,-434.4,-4.11,17.4,54.1,23.1,0.0,0.0,22.8,15min
trail1.5atr,random,3000,-0.1452,0.317,0.636,-0.508,0.582,436.7,-435.6,-7.45,5.8,65.1,2.4,29.1,0.0,3.4,15min
fixed 1R,random,3000,-0.1454,0.44,0.974,-1.024,0.747,439.6,-436.3,-5.96,9.7,52.5,0.0,0.0,41.7,5.5,15min
1->0.3+2->1.1+3->2+5->3.8,random,3000,-0.1472,0.424,1.04,-1.021,0.75,447.0,-441.5,-5.13,12.8,54.1,0.0,34.3,0.0,11.7,15min
trail2.5atr,random,3000,-0.1502,0.321,0.98,-0.685,0.677,451.8,-450.5,-6.18,9.5,64.4,1.6,28.6,0.0,5.4,15min
1->0+2->0.8 trail2atr,random,3000,-0.1559,0.242,1.788,-0.778,0.735,468.3,-467.6,-5.56,12.2,54.1,18.1,18.7,0.0,9.1,15min
0.5->0,random,3000,-0.1563,0.133,2.474,-0.56,0.678,469.8,-469.0,-4.89,14.8,41.9,42.0,0.0,0.0,16.1,15min
1->0+2->0.8 trail3atr,random,3000,-0.1572,0.242,1.783,-0.778,0.733,472.4,-471.7,-5.5,12.7,54.1,18.1,17.5,0.0,10.3,15min
1->0+2->0.5,random,3000,-0.1582,0.242,1.864,-0.803,0.74,482.5,-474.6,-4.61,17.0,54.1,18.1,7.6,0.0,20.2,15min
1->0+2->1,random,3000,-0.1621,0.242,1.848,-0.803,0.734,493.7,-486.2,-4.81,16.2,54.1,18.1,10.9,0.0,16.9,15min
1->0+2->0.8+3->1.8,random,3000,-0.1627,0.242,1.803,-0.79,0.728,490.3,-488.1,-5.15,15.3,54.1,18.1,12.1,0.0,15.7,15min
1->0+1.5->0.5,random,3000,-0.1658,0.298,1.484,-0.866,0.727,507.9,-497.5,-4.94,15.9,54.1,12.5,15.0,0.0,18.4,15min
0.75->0+1.5->0.5+2.5->1.3+4->2.6,random,3000,-0.1672,0.264,1.49,-0.761,0.701,504.6,-501.7,-5.24,14.2,49.4,21.0,17.0,0.0,12.6,15min
