ladder,entry,n,E_R,win,avg_win,avg_loss,PF,maxDD_R,total_R,t,hold_h,pct_stopped,pct_breakeven,pct_locked,pct_target,pct_timeout,tf
1->0+3->1.5,signal,5372,-0.0413,0.214,2.478,-0.728,0.928,379.5,-221.9,-1.68,13.3,53.5,22.2,5.0,0.0,19.4,15min
1.5->0,signal,5372,-0.052,0.224,2.622,-0.822,0.918,434.0,-279.4,-1.99,15.8,59.9,14.1,0.0,0.0,25.9,15min
1->0,signal,5372,-0.0522,0.192,2.71,-0.708,0.909,410.9,-280.5,-2.09,14.6,53.5,24.3,0.0,0.0,22.2,15min
1->0+2->0.8+3->1.8,signal,5372,-0.0524,0.264,1.963,-0.775,0.908,360.3,-281.6,-2.24,12.4,53.5,17.2,13.4,0.0,15.9,15min
1->0+2->0.5,signal,5372,-0.0536,0.264,1.961,-0.775,0.906,383.1,-288.1,-2.2,14.1,53.5,17.2,9.5,0.0,19.8,15min
1->0+2->1,signal,5372,-0.0538,0.264,1.958,-0.775,0.906,372.6,-288.9,-2.28,13.1,53.5,17.2,12.3,0.0,17.0,15min
1->0+1.5->0.5,signal,5372,-0.0603,0.319,1.598,-0.838,0.894,426.6,-323.8,-2.54,13.7,53.5,11.7,16.5,0.0,18.3,15min
1->0.3+2->1.1+3->2+5->3.8,signal,5372,-0.0645,0.436,1.158,-1.01,0.887,388.5,-346.8,-2.98,11.1,53.5,0.0,35.3,0.0,11.2,15min
1->0+2->0.8 trail3atr,signal,5372,-0.066,0.264,1.912,-0.775,0.884,399.9,-354.3,-3.11,11.0,53.5,17.2,19.5,0.0,9.8,15min
trail4atr,signal,5372,-0.0707,0.316,1.564,-0.825,0.875,454.7,-379.6,-3.28,10.8,65.3,0.7,25.1,0.0,8.9,15min
fixed 3R,signal,5372,-0.0724,0.297,2.118,-0.999,0.897,485.8,-388.9,-3.14,13.3,65.9,0.0,0.0,16.2,17.9,15min
1->0+2->0.8 trail2atr,signal,5372,-0.0756,0.264,1.876,-0.775,0.868,445.8,-406.1,-3.73,10.5,53.5,17.2,20.6,0.0,8.7,15min
1->0+2->1 tp3R,signal,5372,-0.0761,0.264,1.874,-0.775,0.867,444.7,-408.7,-3.71,10.8,53.5,17.1,8.4,11.4,9.5,15min
0.75->0+1.5->0.5+2.5->1.3+4->2.6,signal,5372,-0.0824,0.281,1.577,-0.732,0.843,500.8,-442.4,-3.84,11.1,49.1,20.1,18.6,0.0,12.2,15min
fixed 2R,signal,5372,-0.0876,0.334,1.735,-1.002,0.869,541.5,-470.8,-4.28,11.2,62.6,0.0,0.0,26.3,11.0,15min
1->0 tp2R,signal,5372,-0.0896,0.271,1.776,-0.783,0.843,521.1,-481.1,-4.68,10.0,53.5,16.3,0.0,22.0,7.9,15min
0.5->0,signal,5372,-0.094,0.128,2.837,-0.523,0.794,580.7,-504.9,-4.28,11.7,42.1,42.8,0.0,0.0,15.1,15min
fixed 1.5R,signal,5372,-0.0962,0.378,1.401,-1.004,0.846,560.1,-516.9,-5.15,9.7,58.4,0.0,0.0,33.8,7.4,15min
keep70%,signal,5372,-0.097,0.75,0.082,-0.634,0.389,528.7,-521.0,-16.95,1.2,15.2,23.0,61.0,0.0,0.8,15min
keep60%,signal,5372,-0.0987,0.737,0.081,-0.604,0.378,538.1,-530.5,-16.77,1.2,15.2,25.8,58.2,0.0,0.8,15min
1->0+2->1 keep60%,signal,5372,-0.0987,0.737,0.081,-0.604,0.378,538.1,-530.5,-16.77,1.2,15.2,25.8,58.2,0.0,0.8,15min
fixed 1R,signal,5372,-0.0999,0.458,0.977,-1.011,0.818,559.1,-536.4,-6.05,8.0,51.0,0.0,0.0,44.0,4.6,15min
keep50%,signal,5372,-0.1035,0.713,0.078,-0.554,0.348,562.4,-556.2,-17.38,1.3,15.2,30.5,53.4,0.0,0.8,15min
keep40%,signal,5372,-0.1047,0.685,0.079,-0.505,0.342,573.4,-562.3,-16.21,1.3,15.2,35.7,48.1,0.0,1.0,15min
trail1.5atr,signal,5372,-0.1124,0.33,0.685,-0.505,0.668,611.4,-604.0,-8.02,5.3,63.4,2.7,30.8,0.0,3.0,15min
trail2.5atr,signal,5372,-0.1128,0.325,1.045,-0.67,0.751,665.1,-606.1,-6.65,7.8,64.5,1.1,30.2,0.0,4.2,15min
