hour,median_spread,p90_spread,mean_5m_range,median_5m_range,mean_ticks,edge_ratio,abs_ret_bps
0,0.428,0.488,1.279,1.101,486.207,2.986,3.302
1,0.428,0.487,1.786,1.531,895.64,4.171,4.781
2,0.407,0.474,1.307,1.119,709.906,3.211,3.453
3,0.407,0.464,1.121,0.976,609.511,2.754,2.889
4,0.405,0.469,1.012,0.88,467.58,2.497,2.709
5,0.409,0.464,1.238,1.04,604.419,3.023,3.414
6,0.404,0.464,1.466,1.289,762.736,3.628,4.054
7,0.4,0.464,1.736,1.524,885.757,4.341,4.421
8,0.39,0.44,1.967,1.677,1001.707,5.044,5.151
9,0.38,0.429,1.705,1.488,892.229,4.488,4.51
10,0.377,0.417,1.681,1.442,825.027,4.458,4.416
11,0.38,0.419,1.86,1.565,907.61,4.895,4.98
12,0.383,0.419,2.506,2.176,1258.849,6.544,6.725
13,0.38,0.428,3.13,2.783,1704.896,8.238,8.212
14,0.377,0.427,3.141,2.726,1833.315,8.332,8.506
15,0.378,0.427,2.635,2.202,1595.675,6.971,6.879
16,0.372,0.414,2.002,1.654,1224.575,5.381,5.24
17,0.374,0.428,1.863,1.471,1060.038,4.982,4.925
18,0.374,0.43,1.724,1.263,943.264,4.609,4.712
19,0.374,0.431,1.571,1.299,882.267,4.194,4.235
20,0.392,0.503,1.267,1.047,637.796,3.236,3.376
21,0.444,0.559,1.187,0.981,336.514,2.673,3.112
22,0.521,0.688,1.012,0.75,199.943,1.941,2.675
23,0.467,0.584,1.208,0.857,291.406,2.587,3.108
