policy,maxOpen,risk,n,E_R,tr_day,totR,worst_day,worst_float_dd,final,pass_static10,pass_trail6,pass_strict6
flat_by_friday,2,0.25,1191,0.1696,1.42,202.0,-2.42,10.33,50.5,84.7,44.8,44.8
flat_by_friday,2,0.5,1191,0.1696,1.42,202.0,-4.84,20.65,101.0,74.3,30.1,30.1
flat_by_friday,3,0.25,1641,0.1772,1.96,290.8,-3.43,14.32,72.7,82.5,30.6,30.6
flat_by_friday,3,0.5,1641,0.1772,1.96,290.8,-6.85,28.64,145.4,61.2,27.3,26.8
flat_by_friday,5,0.25,2238,0.2516,2.67,563.1,-5.53,19.22,140.8,76.5,33.3,33.3
flat_by_friday,5,0.5,2238,0.2516,2.67,563.1,-11.06,38.44,281.6,60.1,26.2,25.7
hold_24h_flat_fri,2,0.25,1517,0.1213,1.81,184.0,-2.2,11.32,46.0,86.9,46.4,46.4
hold_24h_flat_fri,2,0.5,1517,0.1213,1.81,184.0,-4.4,22.64,92.0,71.0,27.9,27.9
hold_24h_flat_fri,3,0.25,2029,0.1441,2.42,292.3,-2.68,15.39,73.1,85.2,30.1,30.1
hold_24h_flat_fri,3,0.5,2029,0.1441,2.42,292.3,-5.36,30.77,146.1,66.1,26.2,26.2
hold_24h_flat_fri,5,0.25,2687,0.2082,3.2,559.5,-3.28,19.59,139.9,78.7,30.6,30.6
hold_24h_flat_fri,5,0.5,2687,0.2082,3.2,559.5,-6.57,39.18,279.8,60.7,26.8,26.2
