policy,swap,n,E_R,tr_day,win,PF,totR,maxDD,t,p,med_h,nights
as_shipped (48h),False,2222,0.2803,2.65,0.306,1.5,622.7,56.3,6.53,0.0,12.8,0.0
as_shipped (48h),True,2222,0.2542,2.65,0.304,1.45,564.7,64.0,5.99,0.0,12.8,0.89
flat_by_friday,False,2238,0.2743,2.67,0.309,1.5,614.0,57.9,6.49,0.0,10.5,0.0
flat_by_friday,True,2238,0.2516,2.67,0.308,1.45,563.1,63.5,6.01,0.0,10.5,0.77
hold_24h,False,2674,0.2284,3.19,0.35,1.42,610.6,65.0,6.73,0.0,12.8,0.0
hold_24h,True,2674,0.2087,3.19,0.347,1.38,558.0,70.5,6.19,0.0,12.8,0.66
hold_24h_flat_fri,False,2687,0.2256,3.2,0.354,1.42,606.1,66.2,6.73,0.0,10.4,0.0
hold_24h_flat_fri,True,2687,0.2082,3.2,0.351,1.39,559.5,70.7,6.25,0.0,10.4,0.58
no_overnight (intraday),False,3004,0.1445,3.58,0.382,1.3,433.9,67.8,5.23,0.0,7.0,0.0
no_overnight (intraday),True,3004,0.1424,3.58,0.381,1.29,427.8,69.0,5.16,0.0,7.0,0.07
hold_8h,False,3889,0.092,4.63,0.456,1.21,357.7,79.1,4.75,0.0,8.0,0.0
hold_8h,True,3889,0.0825,4.63,0.452,1.19,320.8,84.7,4.28,0.0001,8.0,0.33
