when,n_open,gap_usd,portfolio_r
2023-01-08,5,1.88,0.95
2023-01-15,5,0.25,0.15
2023-01-22,5,0.95,0.59
2023-02-19,2,-1.37,-0.34
2023-03-19,5,-4.18,-1.84
2023-03-26,5,2.35,0.98
2023-04-30,1,1.12,0.13
2023-05-21,2,-0.5,-0.12
2023-07-30,3,0.25,0.09
2023-08-06,1,-0.25,-0.03
2023-10-29,5,-2.02,-1.25
2023-11-05,4,-0.08,-0.04
2023-11-19,4,-2.35,-1.17
2023-11-26,3,1.32,0.5
2023-12-17,1,-0.03,-0.0
2023-12-25,5,0.93,0.58
2024-01-14,4,0.26,0.12
2024-01-21,3,0.32,0.12
2024-02-04,1,0.63,0.08
2024-02-18,1,1.97,0.25
2024-03-03,5,-0.56,-0.35
2024-03-31,5,6.22,3.16
2024-04-07,5,-6.24,-2.3
2024-04-14,4,8.68,1.43
2024-04-21,5,-2.47,-0.79
2024-05-12,5,2.59,1.22
2024-05-19,5,2.78,1.52
2024-06-16,5,-0.68,-0.43
2024-06-30,5,0.39,0.24
2024-07-07,5,-4.89,-2.48
2024-07-28,3,0.85,0.26
2024-08-04,1,0.71,0.03
2024-08-11,5,0.05,0.03
2024-08-18,4,1.57,0.63
2024-08-25,5,-1.06,-0.62
2024-09-15,4,1.01,0.48
2024-09-22,5,-0.9,-0.5
2024-10-13,5,-0.26,-0.15
2024-10-20,5,-0.7,-0.36
2024-10-27,4,-10.92,-4.39
2024-11-10,1,0.48,0.04
2024-11-24,4,-2.19,-0.82
2024-12-22,5,0.71,0.39
2025-01-19,1,-0.57,-0.07
2025-01-26,5,0.11,0.06
2025-02-02,5,-4.43,-2.77
2025-02-23,2,0.07,0.01
2025-03-16,5,0.48,0.24
2025-03-30,5,2.0,0.91
2025-04-13,5,-7.31,-1.45
2025-04-20,3,5.31,0.95
2025-05-11,1,-51.68,-2.56
2025-05-25,5,-1.15,-0.34
2025-06-15,5,19.34,4.95
2025-06-22,1,22.11,1.49
2025-07-06,3,-1.88,-0.61
2025-07-13,5,8.06,3.72
2025-07-20,5,-0.01,-0.0
2025-08-03,3,2.61,0.5
2025-08-10,4,-0.88,-0.22
2025-08-24,3,-0.66,-0.15
2025-08-31,5,-1.02,-0.64
2025-09-07,5,-4.47,-1.27
2025-09-14,1,1.16,0.1
2025-09-21,5,2.5,0.96
2025-09-28,4,-3.3,-0.92
2025-10-05,5,1.58,0.46
2025-10-26,1,-48.28,-1.28
2025-11-09,3,-1.14,-0.18
2025-11-30,4,3.98,0.78
2025-12-07,4,3.88,0.71
2025-12-14,1,1.03,0.03
2025-12-21,5,0.96,0.21
2025-12-28,5,7.39,1.44
2026-01-11,5,11.33,2.33
2026-01-25,5,20.32,2.89
2026-02-08,4,14.68,0.86
2026-02-15,3,0.48,0.03
2026-02-22,4,-0.39,-0.04
2026-03-01,5,97.23,17.87
2026-03-08,1,8.85,0.18
