test_start,test_end,train_E_R,train_n,stop_atr,min_stop,target_r,trail_atr,mix,trade_start,trade_end
2022-01-03,2022-04-03,-0.0046,51,2.5,6.0,2.0,2.5,pullback+fade,420,1200
2022-04-03,2022-07-03,0.3383,67,2.5,6.0,3.0,0.0,pullback,720,960
2022-07-03,2022-10-03,0.2177,112,2.5,6.0,3.0,0.0,pullback,720,960
2022-10-03,2023-01-03,0.1708,195,2.5,10.0,3.0,0.0,pullback+fade,720,960
2023-01-03,2023-04-03,0.1609,255,2.5,10.0,3.0,0.0,pullback+fade,720,960
2023-04-03,2023-07-03,0.0639,252,2.5,10.0,3.0,0.0,pullback+fade,720,960
2023-07-03,2023-10-03,0.0604,255,2.5,10.0,3.0,0.0,pullback+fade,720,960
2023-10-03,2024-01-03,0.038,247,2.5,10.0,3.0,0.0,pullback+fade,720,960
2024-01-03,2024-04-03,0.0346,255,2.5,10.0,3.0,0.0,pullback+fade,720,960
2024-04-03,2024-07-03,0.1601,294,2.5,6.0,3.0,0.0,pullback+fade,720,1200
